match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
501,1,Team2,Team9,1,1,Player 260,Player 234,Player 48,0,0,0,0,0,0,1,0,1,,,
501,1,Team2,Team9,1,2,Player 234,Player 260,Player 48,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,1,3,Player 234,Player 260,Player 48,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,1,4,Player 234,Player 260,Player 48,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,1,5,Player 234,Player 260,Player 48,0,0,0,0,0,0,1,0,1,,,
501,1,Team2,Team9,1,6,Player 260,Player 234,Player 48,0,0,0,0,0,0,2,0,2,,,
501,1,Team2,Team9,2,1,Player 234,Player 260,Player 136,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,2,2,Player 234,Player 260,Player 136,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,2,3,Player 234,Player 260,Player 136,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,2,4,Player 234,Player 260,Player 136,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,2,5,Player 234,Player 260,Player 136,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,2,6,Player 234,Player 260,Player 136,0,0,0,0,0,0,4,0,4,,,
501,1,Team2,Team9,3,1,Player 260,Player 234,Player 48,0,0,0,0,0,0,1,0,1,,,
501,1,Team2,Team9,3,2,Player 234,Player 260,Player 48,0,0,0,0,0,0,1,0,1,,,
501,1,Team2,Team9,3,3,Player 260,Player 234,Player 48,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,3,4,Player 260,Player 234,Player 48,0,0,0,0,0,0,3,0,3,,,
501,1,Team2,Team9,3,5,Player 234,Player 260,Player 48,0,0,0,0,0,0,0,0,0,,,
501,1,Team2,Team9,3,6,Player 234,Player 260,Player 48,0,0,0,0,0,0,1,0,1,,,
